          File editing by Qt program for population handling
          At date:Jul 12 2020
          At time:23:00:29
******** AGE:0-14 **********
PERIOD:2008-06-30	STATUS:F	Gender:female	Population:436700
PERIOD:2008-09-30	STATUS:F	Gender:female	Population:437100
PERIOD:2008-12-31	STATUS:F	Gender:female	Population:437400
PERIOD:2009-03-31	STATUS:F	Gender:female	Population:438300
PERIOD:2009-06-30	STATUS:F	Gender:female	Population:439100
PERIOD:2009-09-30	STATUS:F	Gender:female	Population:439900
PERIOD:2009-12-31	STATUS:F	Gender:female	Population:440700
PERIOD:2010-03-31	STATUS:F	Gender:female	Population:441900
PERIOD:2010-06-30	STATUS:F	Gender:female	Population:442400
PERIOD:2010-09-30	STATUS:F	Gender:female	Population:443100
PERIOD:2010-12-31	STATUS:F	Gender:female	Population:443400
PERIOD:2011-03-31	STATUS:F	Gender:female	Population:443800
PERIOD:2011-06-30	STATUS:F	Gender:female	Population:444000
PERIOD:2011-09-30	STATUS:F	Gender:female	Population:443900
PERIOD:2011-12-31	STATUS:F	Gender:female	Population:443400
PERIOD:2012-03-31	STATUS:F	Gender:female	Population:443600
PERIOD:2012-06-30	STATUS:F	Gender:female	Population:443300
PERIOD:2012-09-30	STATUS:F	Gender:female	Population:443300
PERIOD:2012-12-31	STATUS:F	Gender:female	Population:443100
PERIOD:2013-03-31	STATUS:F	Gender:female	Population:443100
PERIOD:2013-06-30	STATUS:F	Gender:female	Population:442900
PERIOD:2013-09-30	STATUS:F	Gender:female	Population:442700
PERIOD:2013-12-31	STATUS:F	Gender:female	Population:443300
PERIOD:2014-03-31	STATUS:F	Gender:female	Population:443900
PERIOD:2014-06-30	STATUS:F	Gender:female	Population:444000
PERIOD:2014-09-30	STATUS:F	Gender:female	Population:444000
PERIOD:2014-12-31	STATUS:F	Gender:female	Population:444500
PERIOD:2015-03-31	STATUS:F	Gender:female	Population:445100
PERIOD:2015-06-30	STATUS:F	Gender:female	Population:445600
PERIOD:2015-09-30	STATUS:F	Gender:female	Population:446200
PERIOD:2015-12-31	STATUS:F	Gender:female	Population:446800
PERIOD:2016-03-31	STATUS:F	Gender:female	Population:447900
PERIOD:2016-06-30	STATUS:F	Gender:female	Population:448900
PERIOD:2016-09-30	STATUS:F	Gender:female	Population:450300
PERIOD:2016-12-31	STATUS:F	Gender:female	Population:451500
PERIOD:2017-03-31	STATUS:F	Gender:female	Population:453200
PERIOD:2017-06-30	STATUS:F	Gender:female	Population:454700
PERIOD:2017-09-30	STATUS:F	Gender:female	Population:456200
PERIOD:2017-12-31	STATUS:F	Gender:female	Population:457700
PERIOD:2018-03-31	STATUS:F	Gender:female	Population:459300
PERIOD:2018-06-30	STATUS:P	Gender:female	Population:460100
PERIOD:2008-06-30	STATUS:F	Gender:male	Population:458800
PERIOD:2008-09-30	STATUS:F	Gender:male	Population:459400
PERIOD:2008-12-31	STATUS:F	Gender:male	Population:460000
PERIOD:2009-03-31	STATUS:F	Gender:male	Population:461000
PERIOD:2009-06-30	STATUS:F	Gender:male	Population:462100
PERIOD:2009-09-30	STATUS:F	Gender:male	Population:463300
PERIOD:2009-12-31	STATUS:F	Gender:male	Population:464300
PERIOD:2010-03-31	STATUS:F	Gender:male	Population:465100
PERIOD:2010-06-30	STATUS:F	Gender:male	Population:465700
PERIOD:2010-09-30	STATUS:F	Gender:male	Population:466300
PERIOD:2010-12-31	STATUS:F	Gender:male	Population:466700
PERIOD:2011-03-31	STATUS:F	Gender:male	Population:466800
PERIOD:2011-06-30	STATUS:F	Gender:male	Population:466700
PERIOD:2011-09-30	STATUS:F	Gender:male	Population:466800
PERIOD:2011-12-31	STATUS:F	Gender:male	Population:466500
PERIOD:2012-03-31	STATUS:F	Gender:male	Population:466800
PERIOD:2012-06-30	STATUS:F	Gender:male	Population:466500
PERIOD:2012-09-30	STATUS:F	Gender:male	Population:466400
PERIOD:2012-12-31	STATUS:F	Gender:male	Population:466300
PERIOD:2013-03-31	STATUS:F	Gender:male	Population:466300
PERIOD:2013-06-30	STATUS:F	Gender:male	Population:465900
PERIOD:2013-09-30	STATUS:F	Gender:male	Population:466000
PERIOD:2013-12-31	STATUS:F	Gender:male	Population:466200
PERIOD:2014-03-31	STATUS:F	Gender:male	Population:466700
PERIOD:2014-06-30	STATUS:F	Gender:male	Population:467100
PERIOD:2014-09-30	STATUS:F	Gender:male	Population:467300
PERIOD:2014-12-31	STATUS:F	Gender:male	Population:467700
PERIOD:2015-03-31	STATUS:F	Gender:male	Population:468400
PERIOD:2015-06-30	STATUS:F	Gender:male	Population:468700
PERIOD:2015-09-30	STATUS:F	Gender:male	Population:469200
PERIOD:2015-12-31	STATUS:F	Gender:male	Population:470100
PERIOD:2016-03-31	STATUS:F	Gender:male	Population:471500
PERIOD:2016-06-30	STATUS:F	Gender:male	Population:472800
PERIOD:2016-09-30	STATUS:F	Gender:male	Population:474200
PERIOD:2016-12-31	STATUS:F	Gender:male	Population:475700
PERIOD:2017-03-31	STATUS:F	Gender:male	Population:477700
PERIOD:2017-06-30	STATUS:F	Gender:male	Population:479000
PERIOD:2017-09-30	STATUS:F	Gender:male	Population:480600
PERIOD:2017-12-31	STATUS:F	Gender:male	Population:482100
PERIOD:2018-03-31	STATUS:F	Gender:male	Population:483700
PERIOD:2018-06-30	STATUS:P	Gender:male	Population:484500
PERIOD:2008-06-30	STATUS:F	Gender:total	Population:895500
PERIOD:2008-09-30	STATUS:F	Gender:total	Population:896600
PERIOD:2008-12-31	STATUS:F	Gender:total	Population:897400
PERIOD:2009-03-31	STATUS:F	Gender:total	Population:899300
PERIOD:2009-06-30	STATUS:F	Gender:total	Population:901100
PERIOD:2009-09-30	STATUS:F	Gender:total	Population:903200
PERIOD:2009-12-31	STATUS:F	Gender:total	Population:905000
PERIOD:2010-03-31	STATUS:F	Gender:total	Population:906900
PERIOD:2010-06-30	STATUS:F	Gender:total	Population:908100
PERIOD:2010-09-30	STATUS:F	Gender:total	Population:909400
PERIOD:2010-12-31	STATUS:F	Gender:total	Population:910100
PERIOD:2011-03-31	STATUS:F	Gender:total	Population:910600
